comparison_id,gpt_observation_id,claude_observation_id,match_type,shared_question_ids,shared_rubric_atom_ids,shared_material_atom_ids,keyword_overlap,tag_overlap,supporting_rubric_atom_ids_for_decision,supporting_material_atom_ids_for_decision,difference_description,better_supported_side,needs_source_check,decision,reason,gpt_plain_observation,claude_plain_observation
CMP_COWORK_002,STRONG_OBS_08,OBS_LAWLIFE_W_014_ip_innovation_cluster_keywords,similar,CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0189_2025_石景山_一模_20|CC0229_2026_东城_一模_18|CC0283_2026_朝阳_一模_18,R_CC0103_2025_丰台_一模_19_01|R_CC0131_2025_房山_一模_19_03|R_CC0189_2025_石景山_一模_20_02|R_CC0229_2026_东城_一模_18_05|R_CC0283_2026_朝阳_一模_18_03,M_CC0103_2025_丰台_一模_19_01|M_CC0103_2025_丰台_一模_19_02|M_CC0103_2025_丰台_一模_19_03|M_CC0131_2025_房山_一模_19_01|M_CC0131_2025_房山_一模_19_02|M_CC0131_2025_房山_一模_19_03|M_CC0131_2025_房山_一模_19_04|M_CC0189_2025_石景山_一模_20_05|M_CC0189_2025_石景山_一模_20_07|M_CC0189_2025_石景山_一模_20_08|M_CC0189_2025_石景山_一模_20_12|M_CC0189_2025_石景山_一模_20_13|M_CC0189_2025_石景山_一模_20_16|M_CC0229_2026_东城_一模_18_02|M_CC0229_2026_东城_一模_18_03|M_CC0229_2026_东城_一模_18_04|M_CC0229_2026_东城_一模_18_05|M_CC0229_2026_东城_一模_18_06|M_CC0229_2026_东城_一模_18_07|M_CC0229_2026_东城_一模_18_08|M_CC0229_2026_东城_一模_18_09|M_CC0229_2026_东城_一模_18_10|M_CC0283_2026_朝阳_一模_18_01|M_CC0283_2026_朝阳_一模_18_02|M_CC0283_2026_朝阳_一模_18_03|M_CC0283_2026_朝阳_一模_18_04|M_CC0283_2026_朝阳_一模_18_05,侵权|材料|知识产权,ip,R_CC0103_2025_丰台_一模_19_01|R_CC0131_2025_房山_一模_19_03|R_CC0189_2025_石景山_一模_20_02|R_CC0229_2026_东城_一模_18_05|R_CC0283_2026_朝阳_一模_18_03,M_CC0103_2025_丰台_一模_19_01|M_CC0103_2025_丰台_一模_19_02|M_CC0103_2025_丰台_一模_19_03|M_CC0131_2025_房山_一模_19_01|M_CC0131_2025_房山_一模_19_02|M_CC0131_2025_房山_一模_19_03|M_CC0131_2025_房山_一模_19_04|M_CC0189_2025_石景山_一模_20_05|M_CC0189_2025_石景山_一模_20_07|M_CC0189_2025_石景山_一模_20_08|M_CC0189_2025_石景山_一模_20_12|M_CC0189_2025_石景山_一模_20_13|M_CC0189_2025_石景山_一模_20_16|M_CC0229_2026_东城_一模_18_02|M_CC0229_2026_东城_一模_18_03|M_CC0229_2026_东城_一模_18_04|M_CC0229_2026_东城_一模_18_05|M_CC0229_2026_东城_一模_18_06|M_CC0229_2026_东城_一模_18_07|M_CC0229_2026_东城_一模_18_08|M_CC0229_2026_东城_一模_18_09|M_CC0229_2026_东城_一模_18_10|M_CC0283_2026_朝阳_一模_18_01|M_CC0283_2026_朝阳_一模_18_02|M_CC0283_2026_朝阳_一模_18_03|M_CC0283_2026_朝阳_一模_18_04|M_CC0283_2026_朝阳_一模_18_05,score=117; gpt_category=strong; claude_category=weak,both,yes,pending,需要回源或证据等级审查后再决定。,知识产权与创新发展题的命题机制不是泛谈创新，而是用侵权、惩罚性赔偿、不正当竞争、调解、典型案例等法律机制解释创新保护。,"知识产权 + 新质生产力 + 创新这一主题集群（占 2025–2026 出现频率高），rubric 倾向于把""知识产权保护 / 惩罚性赔偿 / 公平竞争秩序 / 创新生态 / 诚信原则""作为可替换 reward keywords，但具体到每题""必选 vs 可选""的对应表尚未稳定。"
CMP_COWORK_004,NEXT_CHECK_05,OBS_LAWLIFE_C_017_reference_only_evidence_strength,conflict,CC0040_2024_海淀_一模_19|CC0162_2025_海淀_一模_18|CC0311_2026_海淀_二模_18_2|CC0353_2026_西城_期末_17,R_CC0040_2024_海淀_一模_19_01|R_CC0162_2025_海淀_一模_18_M17_01|R_CC0353_2026_西城_期末_17_01,M_CC0040_2024_海淀_一模_19_01|M_CC0040_2024_海淀_一模_19_02|M_CC0162_2025_海淀_一模_18_01|M_CC0162_2025_海淀_一模_18_02|M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03|M_CC0353_2026_西城_期末_17_01|M_CC0353_2026_西城_期末_17_02,合同,contract,R_CC0040_2024_海淀_一模_19_01|R_CC0162_2025_海淀_一模_18_M17_01|R_CC0353_2026_西城_期末_17_01,M_CC0040_2024_海淀_一模_19_01|M_CC0040_2024_海淀_一模_19_02|M_CC0162_2025_海淀_一模_18_01|M_CC0162_2025_海淀_一模_18_02|M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03|M_CC0353_2026_西城_期末_17_01|M_CC0353_2026_西城_期末_17_02,score=63; gpt_category=next_round; claude_category=conflict,both,yes,pending,需要回源或证据等级审查后再决定。,reference_only 四题需要寻找 formal 评分细则或阅卷报告，再决定是否把数字人、年卡格式合同、知识产权融资、青少年模式技术屏蔽纳入代码本。,"4 道 reference_only 题（CC0040、CC0162、CC0311、CC0353）仅有参考答案而无评分细则，但其中 CC0353 内嵌""以事实为依据、以法律为准绳""锚句、CC0162 出现""格式合同有效+诚信原则+合法权益""完整链条，似乎已能形式上支持 OBS_001 与 OBS_003 — 但按本工程最高原则 reference_only 不能单独支撑核心节点。"
CMP_COWORK_005,STRONG_OBS_01,OBS_LAWLIFE_001_anchor_facts_law_yardstick,same,CC0002_2024_丰台_一模_17|CC0119_2025_丰台_期末_19|CC0251_2026_丰台_一模_20,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0119_2025_丰台_期末_19_M17_01|R_CC0251_2026_丰台_一模_20_01,M_CC0119_2025_丰台_期末_19_04,以事实为依据|以法律为准绳|价值|判决|材料|法理依据,court_anchor,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0119_2025_丰台_期末_19_M17_01|R_CC0251_2026_丰台_一模_20_01,M_CC0119_2025_丰台_期末_19_04,score=50; gpt_category=strong; claude_category=strong,both,yes,merge,双模型强观察均发现且源表可核到共享题号/细则/材料；仅作为代码本观察，不直接等于框架节点。,法理依据加现实意义类设问，判分机制通常拆成法律依据、材料适用、现实意义三层。学生不能用价值话替代法律判断。,"凡设问对象是""法院判决/裁判理由/法官调解""且分值 ≥ 5 分的题，""判决以事实为依据、以法律为准绳""是被显式记入评分细则的""必踩点 1 分""。学生只要不点出该锚句（或同义""相关法律规定/民法典规定""）就少 1 分，且该 1 分独立于事实分析分和价值分。"
CMP_COWORK_014,WEAK_OBS_02,OBS_LAWLIFE_C_017_reference_only_evidence_strength,conflict,CC0162_2025_海淀_一模_18,R_CC0162_2025_海淀_一模_18_M17_01,M_CC0162_2025_海淀_一模_18_01|M_CC0162_2025_海淀_一模_18_02|M_CC0162_2025_海淀_一模_18_03|M_CC0162_2025_海淀_一模_18_04|M_CC0162_2025_海淀_一模_18_05|M_CC0162_2025_海淀_一模_18_06|M_CC0162_2025_海淀_一模_18_07|M_CC0162_2025_海淀_一模_18_08,合同,contract,R_CC0162_2025_海淀_一模_18_M17_01,M_CC0162_2025_海淀_一模_18_01|M_CC0162_2025_海淀_一模_18_02|M_CC0162_2025_海淀_一模_18_03|M_CC0162_2025_海淀_一模_18_04|M_CC0162_2025_海淀_一模_18_05|M_CC0162_2025_海淀_一模_18_06|M_CC0162_2025_海淀_一模_18_07|M_CC0162_2025_海淀_一模_18_08,score=37; gpt_category=weak; claude_category=conflict,both,yes,pending,需要回源或证据等级审查后再决定。,格式合同与诚信用权题中，主题乐园年卡案例支持合同有效、格式条款公平、持卡人违约和诚信原则路径，但该题证据为 reference_only。,"4 道 reference_only 题（CC0040、CC0162、CC0311、CC0353）仅有参考答案而无评分细则，但其中 CC0353 内嵌""以事实为依据、以法律为准绳""锚句、CC0162 出现""格式合同有效+诚信原则+合法权益""完整链条，似乎已能形式上支持 OBS_001 与 OBS_003 — 但按本工程最高原则 reference_only 不能单独支撑核心节点。"
CMP_COWORK_018,WEAK_OBS_03,OBS_LAWLIFE_W_014_ip_innovation_cluster_keywords,same,CC0311_2026_海淀_二模_18_2,,M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03,知识产权,ip,R_CC0311_2026_海淀_二模_18_2_01|R_CC0311_2026_海淀_二模_18_2_02|R_CC0311_2026_海淀_二模_18_2_03|R_CC0311_2026_海淀_二模_18_2_04|R_CC0311_2026_海淀_二模_18_2_05,M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03,score=23; gpt_category=weak; claude_category=weak,both,yes,pending,需要回源或证据等级审查后再决定。,知识产权作为财产权、融资、作价出资、职务发明奖励的创新助力路径值得关注，但本包中该路径主要来自 reference_only。,"知识产权 + 新质生产力 + 创新这一主题集群（占 2025–2026 出现频率高），rubric 倾向于把""知识产权保护 / 惩罚性赔偿 / 公平竞争秩序 / 创新生态 / 诚信原则""作为可替换 reward keywords，但具体到每题""必选 vs 可选""的对应表尚未稳定。"
CMP_COWORK_019,STRONG_OBS_14,OBS_LAWLIFE_C_016_module_boundary_in_论证,conflict,CC0276_2026_房山_二模_17,R_CC0276_2026_房山_二模_17_01,,价值,module_boundary,R_CC0276_2026_房山_二模_17_01,M_CC0276_2026_房山_二模_17_01|M_CC0276_2026_房山_二模_17_02|M_CC0276_2026_房山_二模_17_03|M_CC0276_2026_房山_二模_17_04|M_CC0276_2026_房山_二模_17_05,score=21; gpt_category=strong; claude_category=conflict,both,yes,pending,需要回源或证据等级审查后再决定。,模块边界判断应以设问任务、评分触发和材料法律关系为准，不能因出现法治、经济、AI、绿色发展等词就整体纳入或整体排除。,"论证型题""必修三话语是否允许""出现冲突结论：CC0289_2026_朝阳_二模_18 rubric 显式""答必修三/全面依法治国基本要求不赋分""；CC0131_2025_房山_一模_19_10 rubric 明文允许""必修三法治：公正司法、全民守法、法治社会、法治国家 2 分""。同一类型却两种边界。"
CMP_COWORK_020,NEXT_CHECK_05,OBS_LAWLIFE_W_014_ip_innovation_cluster_keywords,similar,CC0311_2026_海淀_二模_18_2,,M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03,知识产权,ip,R_CC0311_2026_海淀_二模_18_2_01|R_CC0311_2026_海淀_二模_18_2_02|R_CC0311_2026_海淀_二模_18_2_03|R_CC0311_2026_海淀_二模_18_2_04|R_CC0311_2026_海淀_二模_18_2_05,M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03,score=21; gpt_category=next_round; claude_category=weak,both,yes,pending,需要回源或证据等级审查后再决定。,reference_only 四题需要寻找 formal 评分细则或阅卷报告，再决定是否把数字人、年卡格式合同、知识产权融资、青少年模式技术屏蔽纳入代码本。,"知识产权 + 新质生产力 + 创新这一主题集群（占 2025–2026 出现频率高），rubric 倾向于把""知识产权保护 / 惩罚性赔偿 / 公平竞争秩序 / 创新生态 / 诚信原则""作为可替换 reward keywords，但具体到每题""必选 vs 可选""的对应表尚未稳定。"
CMP_COWORK_022,STRONG_OBS_04,,gpt_only,,,,,,,,gpt_category=strong; no matched Claude observation above threshold,gpt,yes,pending,单模型观察，必须待下一轮或回源验证。,民法基本原则在评分中不是空泛价值标签，必须绑定具体主体、具体行为和具体法律效果。,
CMP_COWORK_023,STRONG_OBS_09,,gpt_only,,,,,,,,gpt_category=strong; no matched Claude observation above threshold,gpt,yes,pending,单模型观察，必须待下一轮或回源验证。,AI 与数字技术题没有另起一套法考式科技法框架，高中评分主要把新技术事实放入民事主体、意思表示、著作权、侵权责任、数据权益、不正当竞争和权责边界中处理。,
CMP_COWORK_024,STRONG_OBS_12,,gpt_only,,,,,,,,gpt_category=strong; no matched Claude observation above threshold,gpt,yes,pending,单模型观察，必须待下一轮或回源验证。,生态、物权、相邻关系题的判分机制通常要求把权利边界、义务责任、公共利益或邻里利益平衡写出来，不能只写绿色发展口号。,
CMP_COWORK_025,STRONG_OBS_13,,gpt_only,,,,,,,,gpt_category=strong; no matched Claude observation above threshold,gpt,yes,pending,单模型观察，必须待下一轮或回源验证。,家庭、赡养、遗产题的价值表达必须由具体法律义务或制度引出，尊老敬老、孝老爱亲不能脱离赡养义务、遗产管理、遗赠扶养协议或诉讼时效例外。,
CMP_COWORK_026,WEAK_OBS_01,,gpt_only,,,,,,,,gpt_category=weak; no matched Claude observation above threshold,gpt,yes,pending,单模型观察，必须待下一轮或回源验证。,虚拟数字人侵权题显示，数字人相关材料可被转译为著作权保护和不正当竞争，但本包中该题只有 teacher_reference_answer，不能单独形成强节点。,
CMP_COWORK_027,WEAK_OBS_04,,gpt_only,,,,,,,,gpt_category=weak; no matched Claude observation above threshold,gpt,yes,pending,单模型观察，必须待下一轮或回源验证。,未成年人网络保护与不正当竞争可形成数字治理民事保护路径，但本包中西城期末该题为 reference_only。,
CMP_COWORK_028,CONFLICT_OBS_01,,gpt_only,,,,,,,,gpt_category=conflict; no matched Claude observation above threshold,gpt,yes,discard,单模型观察，必须待下一轮或回源验证。,CC0150_2025_朝阳_二模_20 的 rubric atoms 中疑似混入下一题当代国际政治与经济内容，不能用于选必二代码本归纳。,
CMP_COWORK_029,CONFLICT_OBS_02,,gpt_only,,,,,,,,gpt_category=conflict; no matched Claude observation above threshold,gpt,yes,discard,单模型观察，必须待下一轮或回源验证。,reference_only 题不能单独上升为框架节点，即便内容看似典型，也只能作为待验证线索。,
CMP_COWORK_030,NEXT_CHECK_02,,gpt_only,,,,,,,,gpt_category=next_round; no matched Claude observation above threshold,gpt,yes,discard,单模型观察，必须待下一轮或回源验证。,AI 和生成式 AI 混合题需要重点验证模块边界，尤其要区分法律与生活的民事权责、必修三治理、逻辑推理或经济发展内容。,
CMP_COWORK_031,NEXT_CHECK_04,,gpt_only,,,,,,,,gpt_category=next_round; no matched Claude observation above threshold,gpt,yes,discard,单模型观察，必须待下一轮或回源验证。,两处疑似跨题或跨材料污染需要优先回源核查，否则会干扰后续代码本归纳。,
CMP_COWORK_032,,OBS_LAWLIFE_005_material_quote_required,claude_only,,,,,,,,claude_category=strong; no matched GPT observation above threshold,claude,yes,pending,单模型观察，必须待下一轮或回源验证。,,"涉及""事实分析""或""材料分析""赋分项的题，rubric 明文要求引用材料中的具体词句而非自造同义表述；学生用语义近似但非材料原文的表述不得分。"
CMP_COWORK_033,,OBS_LAWLIFE_009_module_leakage_penalty,claude_only,,,,,,,,claude_category=strong; no matched GPT observation above threshold,claude,yes,pending,单模型观察，必须待下一轮或回源验证。,,"法律与生活主观题答案中出现纯必修三/政治与法治的话语（""全面依法治国基本要求""""法治政府/法治社会建设""），或者纯哲学/经济模块表述，部分题显式不赋分或扣分，但少数论证制度作用题允许把""必修三法治价值""作为补充分（上限 2 分）。规则是""以选必二《法律与生活》为主轴""的同时容忍少量必修三延伸。"
CMP_COWORK_034,,OBS_LAWLIFE_W_012_small_stake_mediation_anchor,claude_only,,,,,,,,claude_category=weak; no matched GPT observation above threshold,claude,yes,pending,单模型观察，必须待下一轮或回源验证。,,"""诉讼标的较小 + 当事人协商无果""型材料触发""调解优先""的 1 分锚句""本案标的较小，本着以和为贵原则适用调解""。但样本只有 1 题显式写出该锚句。"
CMP_COWORK_035,,OBS_LAWLIFE_W_015_minor_transactions_invalidity_chain,claude_only,,,,,,,,claude_category=weak; no matched GPT observation above threshold,claude,yes,pending,单模型观察，必须待下一轮或回源验证。,,"未成年人参与的交易/侵权题，rubric 高度收敛于""限制民事行为能力人 + 法定代理人未追认 → 合同无效 / 部分行为可撤销 + 监护人责任分配""链。但样本含 RECOVER 与 reference_only，需要更强支撑。"
CMP_COWORK_036,,OBS_LAWLIFE_NF_018_anchor_socialist_core_values,claude_only,,,,,,,,claude_category=do_not_promote; no matched GPT observation above threshold,neither,yes,discard,单模型观察，必须待下一轮或回源验证。,,"""弘扬社会主义核心价值观/促进社会公平正义/构建和谐社会""在不同题里都能得 1 分。出现率非常高，几乎是任何意义类题的尾点。"
CMP_COWORK_037,,OBS_LAWLIFE_NF_019_民法典_universal_anchor,claude_only,,,,,,,,claude_category=do_not_promote; no matched GPT observation above threshold,neither,yes,discard,单模型观察，必须待下一轮或回源验证。,,"""根据《民法典》""在 22 个 rubric 行被显式作为加分起手。题型不限。"
